地区名,支店名,支店詳細URL,電話番号,郵便番号,住所
北海道・東北地区,札幌支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=300,011-214-6111 ; 050-3194-0300 ; ,060-8601,北海道札幌市中央区大通西三丁目７番地
北海道・東北地区,釧路支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=302,0154-23-0161 ; 050-3194-0302 ; ,085-0015,北海道釧路市北大通11-1-2日進釧路ビル
北海道・東北地区,青森支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=400,017-777-2111 ; 050-3194-0400 ; ,030-8611,青森県青森市新町2-5-13
北海道・東北地区,盛岡支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=410,019-652-1171 ; 050-3194-0410 ; ,020-8701,岩手県盛岡市菜園1-12-10
北海道・東北地区,仙台支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=430,022-221-5111 ; 050-3194-0430 ; ,980-0021,宮城県仙台市青葉区中央2-8-13大和証券仙台ビル3階
北海道・東北地区,秋田支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=420,018-831-2811 ; 050-3194-0420 ; ,010-0001,秋田県秋田市中通4-5-2
北海道・東北地区,山形支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=440,023-622-8151 ; 050-3194-0440 ; ,990-0043,山形県山形市本町2-4-9
北海道・東北地区,福島支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=450,024-522-3111 ; 050-3194-0450 ; ,960-8651,福島県福島市栄町11-25AXC福島ビル1階
北海道・東北地区,郡山支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=451,024-932-3111 ; 050-3194-0451 ; ,963-8002,福島県郡山市駅前1-9-2HD郡山フロンティア通りビル1階
北海道・東北地区,いわき支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=452,0246-23-0111 ; 050-3194-0452 ; ,970-8026,福島県いわき市平字田町1-7
関東地区（東京除く）,水戸支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=067,029-226-9111 ; 050-3194-0067 ; ,310-0026,茨城県水戸市泉町2-2-27ニッセイ水戸ビル　5階
関東地区（東京除く）,宇都宮支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=089,028-621-3531 ; 050-3194-0089 ; ,320-0026,栃木県宇都宮市馬場通り4-1-1うつのみや表参道スクエア3階
関東地区（東京除く）,高崎支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=088,027-327-7111 ; 050-3194-0088 ; ,370-0849,群馬県高崎市八島町58-1ウエストワン・ビル
関東地区（東京除く）,伊勢崎営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=984,027-338-6120 ; 050-3194-1022 ; ,372-0042,群馬県伊勢崎市中央町22-5中央ビルメゾン石坂2階
関東地区（東京除く）,前橋営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=960,027-338-6130 ; 050-3194-1032 ; ,371-0024,群馬県前橋市表町2-2-6前橋ファーストビルディング 8階
関東地区（東京除く）,大宮支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=069,048-642-3881 ; 050-3194-0069 ; ,330-0854,埼玉県さいたま市大宮区桜木町 1-195-1大宮ソラミチKOZ 6階
関東地区（東京除く）,春日部営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=961,048-642-3714 ; 050-3194-1000 ; ,344-0067,埼玉県春日部市中央 1-51-1春日部大栄ビル5階
関東地区（東京除く）,久喜営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=955,048-637-3480 ; 050-3194-1041 ; ,346-0003,埼玉県久喜市久喜中央一丁目1-20クッキープラザ5階
関東地区（東京除く）,熊谷営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=944,048-637-3488 ; 050-3194-1043 ; ,360-0037,埼玉県熊谷市筑波3-195熊谷駅前ビル7階
関東地区（東京除く）,浦和支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=090,048-834-6111 ; 050-3194-0090 ; ,330-0063,埼玉県さいたま市浦和区高砂2-14-18
関東地区（東京除く）,川口支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=094,048-225-3611 ; 050-3194-0094 ; ,332-0012,埼玉県川口市本町4-2-1
関東地区（東京除く）,所沢支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=065,04-2922-8111 ; 050-3194-0065 ; ,359-1116,埼玉県所沢市東町12-10ブランズタワー所沢2階
関東地区（東京除く）,草加営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=987,03-4434-2160 ; 050-3194-1025 ; ,340-0015,埼玉県草加市高砂2-9-1草加マルイ6階
関東地区（東京除く）,ふじみ野営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=904,03-4218-3580 ; 050-3194-1065 ; ,354-0036,埼玉県富士見市ふじみ野東1-1-1ふじみ野ナーレ　4階
関東地区（東京除く）,千葉支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=070,043-227-8181 ; 050-3194-0070 ; ,260-0015,千葉県千葉市中央区富士見1-1-13JS Bldg.３階
関東地区（東京除く）,五井営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=954,043-394-7100 ; 050-3194-1038 ; ,290-0081,千葉県市原市五井中央西二丁目8-33小宮ビル5階
関東地区（東京除く）,船橋支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=072,047-424-2111 ; 050-3194-0072 ; ,273-0005,千葉県船橋市本町4-40-22
関東地区（東京除く）,海浜幕張営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=940,047-419-3890 ; 050-3194-1036 ; ,261-7102,千葉県千葉市美浜区中瀬二丁目6-1ワールドビジネスガーデンアトリウム2階
関東地区（東京除く）,八千代緑が丘営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=981,047-419-6910 ; 050-3194-1047 ; ,276-0049,千葉県八千代市緑が丘1-2-19東洋コーポレーション緑が丘ビル
関東地区（東京除く）,新鎌ヶ谷営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=906,047-419-3860 ; 050-3194-1067 ; ,273-0107,千葉県 鎌ケ谷市新鎌ヶ谷2-12-1アクロスモール新鎌ヶ谷　1階
関東地区（東京除く）,松戸支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=098,047-366-5111 ; 050-3194-0098 ; ,271-8501,千葉県松戸市本町19-15
関東地区（東京除く）,うすい支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=096,043-462-1009 ; 050-3194-0096 ; ,285-0837,千葉県佐倉市王子台1-28-8
関東地区（東京除く）,成田営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=999,043-375-5560 ; 050-3194-1081 ; ,286-0033,千葉県成田市 花崎町959京成成田東口森田ビル　2階
関東地区（東京除く）,柏支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=066,04-7166-2701 ; 050-3194-0066 ; ,277-0021,千葉県柏市中央町1番1号柏セントラルプラザ4階
関東地区（東京除く）,つくば営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=998,04-7151-0970 ; 050-3194-1080 ; ,305-0817,茨城県つくば市研究学園5丁目2番地4サンライズビル 2階
関東地区（東京除く）,市川営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=963,03-3681-3304 ; 050-3194-1002 ; ,272-0034,千葉県市川市市川一丁目３番１８号京成市川ビル ２階
関東地区（東京除く）,浦安営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=985,03-4531-2120 ; 050-3194-1023 ; ,279-0001,千葉県浦安市当代島1-3-27イワオビル2F
関東地区（東京除く）,横浜支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=082,045-451-7001 ; 050-3194-0082 ; ,220-0011,神奈川県横浜市西区高島2-19-12スカイビル19階
関東地区（東京除く）,日吉営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=978,045-614-6150 ; 050-3194-1017 ; ,223-0062,神奈川県横浜市港北区日吉本町1-4-1篭山ビル1階
関東地区（東京除く）,センター南営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=989,045-614-6160 ; 050-3194-1027 ; ,224-0032,神奈川県横浜市都筑区茅ケ崎中央44-11センター南駅前ビル4階
関東地区（東京除く）,二俣川営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=941,045-614-6170 ; 050-3194-1035 ; ,241-0821,神奈川県横浜市旭区二俣川二丁目50-14コプレ二俣川オフィス　9階
関東地区（東京除く）,金沢文庫営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=942,045-567-0080 ; 050-3194-1042 ; ,236-0016,神奈川県横浜市金沢区谷津町340金沢文庫シンコービル2階
関東地区（東京除く）,戸塚支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=064,045-864-1715 ; 050-3194-0064 ; ,244-8601,神奈川県横浜市戸塚区戸塚町4100
