City,Japanese,Prefecture,Population,Area,Density,Founded
Nagoya,名古屋市,Aichi,"2,327,557",326.45,"6,860",1889-10-01
Toyohashi,豊橋市,Aichi,"377,045",261.35,"1,443",1906-08-01
Okazaki,岡崎市,Aichi,"371,380",387.24,959,1916-07-01
Ichinomiya,一宮市,Aichi,"375,939",113.91,"3,300",1921-09-01
Seto,瀬戸市,Aichi,"132,311",111.61,"1,185",1929-10-01
Handa,半田市,Aichi,"117,927",47.24,"2,496",1937-10-01
Kasugai,春日井市,Aichi,"300,713",92.71,"3,244",1943-06-01
Toyokawa,豊川市,Aichi,"161,595",150.71,"1,072",1943-06-01
Tsushima,津島市,Aichi,"65,646",25.08,"2,617",1947-03-01
Hekinan,碧南市,Aichi,"73,024",35.86,"2,036",1948-04-05
Kariya,刈谷市,Aichi,"145,117",50.45,"2,876",1950-04-01
Toyota,豊田市,Aichi,"420,286",918.47,458,1951-03-01
AnjoAnjō,安城市,Aichi,"176,046",86.01,"2,047",1952-05-05
Nishio,西尾市,Aichi,"106,643",75.78,"1,407",1953-12-15
GamagoriGamagōri,蒲郡市,Aichi,"82,264",56.81,"1,448",1954-04-01
Inuyama,犬山市,Aichi,"75,304",74.97,"1,004",1954-04-01
Tokoname,常滑市,Aichi,"52,837",55.63,950,1954-04-01
KonanKōnan,江南市,Aichi,"100,064",30.17,"3,317",1954-06-01
Komaki,小牧市,Aichi,"149,060",62.82,"2,373",1955-01-01
Inazawa,稲沢市,Aichi,"137,475",79.30,"1,734",1958-11-01
TokaiTōkai,東海市,Aichi,"106,708",43.36,"2,461",1969-04-01
ObuŌbu,大府市,Aichi,"83,097",33.68,"2,467",1970-09-01
Chita,知多市,Aichi,"84,782",45.43,"1,866",1970-09-01
ChiryuChiryū,知立市,Aichi,"68,216",16.34,"4,175",1970-12-01
Owariasahi,尾張旭市,Aichi,"79,197",21.03,"3,766",1970-12-01
Takahama,高浜市,Aichi,"43,467",13.00,"3,344",1970-12-01
Iwakura,岩倉市,Aichi,"48,042",10.49,"4,580",1971-12-01
Toyoake,豊明市,Aichi,"69,124",23.18,"2,982",1972-08-01
Nisshin,日進市,Aichi,"80,921",34.90,"2,319",1994-10-01
Tahara,田原市,Aichi,"66,698",188.81,353,2003-08-20
Aisai,愛西市,Aichi,"65,481",66.63,983,2005-04-01
Kiyosu,清須市,Aichi,"56,635",13.31,"4,255",2005-07-07
Shinshiro,新城市,Aichi,"51,326",499.00,103,2005-10-01
Kitanagoya,北名古屋市,Aichi,"80,112",18.37,"4,361",2006-03-20
Yatomi,弥富市,Aichi,"43,145",48.92,882,2006-04-01
Miyoshi,みよし市,Aichi,"62,001",32.11,"1,930",2010-01-04
Ama,あま市,Aichi,"86,876",27.59,"3,160",2010-03-22
Nagakute,長久手市,Aichi,"57,764",21.55,"2,680",2012-01-04
Akita,秋田市,Akita,"329,287",905.67,364,1889-04-01
OdateŌdate,大館市,Akita,"80,587",913.70,88.2,1951-04-01
Kazuno,鹿角市,Akita,"35,543",707.34,50.2,1972-04-01
Daisen,大仙市,Akita,"91,143",866.67,105,2005-03-22
Katagami,潟上市,Akita,"35,460",97.96,362,2005-03-22
Kitaakita,北秋田市,Akita,"38,543","1,152.57",33.4,2005-03-22
Oga,男鹿市,Akita,"34,194",240.80,142,2005-03-22
YurihonjoYurihonjō,由利本荘市,Akita,"87,525","1,209.04",72.4,2005-03-22
Yuzawa,湯沢市,Akita,"53,588",790.72,67.8,2005-03-22
Semboku,仙北市,Akita,"30,885","1,093.64",28.2,2005-09-20
Yokote,横手市,Akita,"101,234",693.60,146,2005-10-01
Nikaho,にかほ市,Akita,"28,422",240.61,118,2005-10-01
Noshiro,能代市,Akita,"61,295",426.74,144,2006-03-21
Hachinohe,八戸市,Aomori,"241,613",305.17,792,1929-05-01
Kuroishi,黒石市,Aomori,"37,585",216.96,173,1954-07-01
Misawa,三沢市,Aomori,"42,535",119.97,355,1958-09-01
Mutsu,むつ市,Aomori,"62,220",863.79,72.0,1959-09-01
Towada,十和田市,Aomori,"66,834",688.60,97.1,2005-01-01
Tsugaru,つがる市,Aomori,"38,919",253.85,153,2005-02-11
Goshogawara,五所川原市,Aomori,"60,788",404.58,150,2005-03-28
Aomori,青森市,Aomori,"305,884",824.52,371,2005-04-01
Hirakawa,平川市,Aomori,"34,638",345.81,100,2006-01-01
Hirosaki,弘前市,Aomori,"185,865",523.60,355,2006-02-27
Chiba,千葉市,Chiba,"979,768",272.08,"3,450",1921-01-01
ChoshiChōshi,銚子市,Chiba,"72,348",83.91,862,1933-02-11
Ichikawa,市川市,Chiba,"470,149",57.40,"8,191",1934-11-03
Funabashi,船橋市,Chiba,"586,762",85.64,"6,851",1937-04-01
Tateyama,館山市,Chiba,"49,987",110.21,454,1939-11-03
Kisarazu,木更津市,Chiba,"123,743",138.73,892,1942-11-03
Matsudo,松戸市,Chiba,"477,603",61.33,"7,787",1943-04-01
Noda,野田市,Chiba,"153,422",103.54,"1,482",1950-05-03
Mobara,茂原市,Chiba,"93,032",100.01,930,1952-04-01
Narita,成田市,Chiba,"124,773",213.84,583,1954-03-31
Sakura,佐倉市,Chiba,"171,472",103.59,"1,655",1954-03-31
ToganeTōgane,東金市,Chiba,"61,591",89.34,689,1954-04-01
Narashino,習志野市,Chiba,"159,758",20.99,"7,611",1954-08-01
Kashiwa,柏市,Chiba,"389,036",114.90,"3,386",1954-09-01
Katsuura,勝浦市,Chiba,"21,413",94.20,227,1958-10-01
Ichihara,市原市,Chiba,"279,591",368.20,759,1963-05-01
Nagareyama,流山市,Chiba,"156,686",35.28,"4,441",1967-01-01
Yachiyo,八千代市,Chiba,"184,655",51.27,"3,602",1967-01-01
Abiko,我孫子市,Chiba,"133,533",43.19,"3,092",1970-07-01
Kamagaya,鎌ヶ谷市,Chiba,"104,564",21.11,"4,953",1971-09-01
Kimitsu,君津市,Chiba,"89,350",318.83,280,1971-09-01
Futtsu,富津市,Chiba,"48,973",205.35,238,1971-09-01
Urayasu,浦安市,Chiba,"159,312",17.29,"9,214",1981-04-01
YotsukaidoYotsukaidō,四街道市,Chiba,"85,738",34.70,"2,471",1981-04-01
Sodegaura,袖ヶ浦市,Chiba,"59,443",94.92,626,1991-04-01
Yachimata,八街市,Chiba,"75,369",74.87,"1,007",1992-04-01
Inzai,印西市,Chiba,"60,280",53.51,"1,127",1996-04-01
Shiroi,白井市,Chiba,"57,151",35.41,"1,614",2001-04-01
Tomisato,富里市,Chiba,"51,590",53.91,957,2002-04-01
Kamogawa,鴨川市,Chiba,"35,792",191.30,187,2005-02-11
Asahi,旭市,Chiba,"69,971",129.91,539,2005-07-01
Isumi,いすみ市,Chiba,"41,605",157.50,264,2005-12-05
SosaSōsa,匝瑳市,Chiba,"41,361",101.78,406,2006-01-23
MinamibosoMinamibōsō,南房総市,Chiba,"43,553",230.22,189,2006-03-20
Katori,香取市,Chiba,"85,193",262.31,325,2006-03-27
Sanmu,山武市,Chiba,"57,806",146.38,395,2006-03-27
Ōamishirasato,大網白里市,Chiba,"51,176",58.06,881,2013-01-01
Matsuyama,松山市,Ehime,"515,068",429.03,"1,201",1889-12-15
Niihama,新居浜市,Ehime,"123,329",234.30,526,1937-11-03
ShikokuchuoShikokuchūō,四国中央市,Ehime,"91,688",420.10,218,2004-04-01
Seiyo,西予市,Ehime,"43,476",514.79,84.5,2004-04-01
ToonTōon,東温市,Ehime,"35,517",211.45,168,2004-09-21
SaijoSaijō,西条市,Ehime,"112,543",509.05,221,2004-11-01
OzuŌzu,大洲市,Ehime,"49,543",432.20,115,2005-01-11
Imabari,今治市,Ehime,"170,986",419.85,407,2005-01-16
Yawatahama,八幡浜市,Ehime,"40,010",132.98,301,2005-03-28
Iyo,伊予市,Ehime,"38,890",194.47,200,2005-04-01
Uwajima,宇和島市,Ehime,"86,819",469.52,185,2005-08-01
Fukui,福井市,Fukui,"268,574",536.17,501,1889-04-01
Tsuruga,敦賀市,Fukui,"68,188",250.75,272,1937-04-01
Obama,小浜市,Fukui,"31,486",232.86,135,1951-03-30
OnoŌno,大野市,Fukui,"36,763",872.30,42.1,1954-07-01
Katsuyama,勝山市,Fukui,"26,333",253.68,104,1954-09-01
Sabae,鯖江市,Fukui,"67,430",84.75,796,1955-01-15
Awara,あわら市,Fukui,"30,765",116.99,263,2004-03-01
Echizen,越前市,Fukui,"87,116",230.75,378,2005-10-01
Sakai,坂井市,Fukui,"92,420",209.91,440,2006-03-20
Fukuoka,福岡市,Fukuoka,"1,588,924",340.96,"4,515",1889-04-01
Kurume,久留米市,Fukuoka,"305,147",229.84,"1,328",1889-04-01
OmutaŌmuta,大牟田市,Fukuoka,"127,474",81.55,"1,563",1917-03-01
NogataNōgata,直方市,Fukuoka,"57,319",61.78,928,1931-01-01
Tagawa,田川市,Fukuoka,"50,484",54.52,926,1943-11-03
Yanagawa,柳川市,Fukuoka,"72,798",76.90,947,1952-04-01
Yame,八女市,Fukuoka,"60,114",482.44,125,1954-04-01
Chikugo,筑後市,Fukuoka,"48,281",41.85,"1,154",1954-04-01
OkawaŌkawa,大川市,Fukuoka,"38,266",33.61,"1,139",1954-04-01
Yukuhashi,行橋市,Fukuoka,"70,064",69.83,"1,003",1954-10-10
Buzen,豊前市,Fukuoka,"27,578",111.17,248,1955-04-10
Nakagawa,那珂川市,Fukuoka,"50,004",74.95,667,2018-10-01
Nakama,中間市,Fukuoka,"45,549",15.98,"2,850",1958-11-01
KitakyushuKitakyushu,北九州市,Fukuoka,"940,978",487.71,"2,024",1963-02-10
OgoriOgōri,小郡市,Fukuoka,"58,460",45.50,"1,285",1972-04-01
Chikushino,筑紫野市,Fukuoka,"98,914",87.78,"1,127",1972-04-01
Kasuga,春日市,Fukuoka,"107,845",14.15,"7,622",1972-04-01
OnojoŌnojō,大野城市,Fukuoka,"94,037",26.88,"3,498",1972-04-01
Munakata,宗像市,Fukuoka,"94,877",119.66,793,1981-04-01
Dazaifu,太宰府市,Fukuoka,"68,561",29.58,"2,318",1982-04-01
Koga,古賀市,Fukuoka,"57,084",42.11,"1,356",1997-10-01
