branch_name,phone_number,address,region,地域名,支店名,支店詳細URL
旭川支店 【取引店コード：N42】,"(0166)23-1181
自動音声応答サービスによる受付です","〒070-0035

北海道旭川市五条通9丁目右1号",北海道,北海道,旭川支店,https://www.nomura.co.jp/branch/branch/asahikawa.html
釧路支店 【取引店コード：402】,"(0154)23-1171
自動音声応答サービスによる受付です","〒085-0015

北海道釧路市北大通12-1-4",北海道,北海道,釧路支店,https://www.nomura.co.jp/branch/branch/kushiro.html
札幌支店 【取引店コード：N40】,"(011)261-7211
自動音声応答サービスによる受付です","〒060-0003

北海道札幌市中央区北三条西4丁目(日本生命札幌ビル)",北海道,北海道,札幌支店,https://www.nomura.co.jp/branch/branch/sapporo.html
とかち帯広営業所 【取引店コード：402】,"(0155)91-1234
自動音声応答サービスによる受付です","〒080-0013

北海道帯広市西3条南10丁目32番地（日本生命帯広駅前ビル2F）",北海道,北海道,とかち帯広営業所,https://www.nomura.co.jp/branch/branch/tokachi.html
函館支店 【取引店コード：N41】,"(0138)87-5551
自動音声応答サービスによる受付です","〒040-0011

北海道函館市本町31-15",北海道,北海道,函館支店,https://www.nomura.co.jp/branch/branch/hakodate.html
青森支店 【取引店コード：N39】,"(017)723-4111
自動音声応答サービスによる受付です","〒030-0801

青森県青森市新町2-6-29(新町通り)",青森県,東北,青森支店,https://www.nomura.co.jp/branch/branch/aomori.html
八戸支店 【取引店コード：267】,"(0178)72-1001
自動音声応答サービスによる受付です","〒031-0041

青森県八戸市廿三日町28（八戸ウエストビル1階）",青森県,東北,八戸支店,https://www.nomura.co.jp/branch/branch/hachinohe.html
盛岡支店 【取引店コード：303】,"(019)653-5000
自動音声応答サービスによる受付です","〒020-0022

岩手県盛岡市大通2-2-18(大通商店街)",岩手県,東北,盛岡支店,https://www.nomura.co.jp/branch/branch/morioka.html
仙台支店 【取引店コード：N43】,"(022)221-3111
自動音声応答サービスによる受付です","〒980-0021

宮城県仙台市青葉区中央2-1-1",宮城県,東北,仙台支店,https://www.nomura.co.jp/branch/branch/sendai.html
秋田支店 【取引店コード：N45】,"(018)831-2111
自動音声応答サービスによる受付です","〒010-0001

秋田県秋田市中通4-2-7(日本生命秋田中央通ビル)",秋田県,東北,秋田支店,https://www.nomura.co.jp/branch/branch/akita.html
山形支店 【取引店コード：N47】,"(023)622-1313
自動音声応答サービスによる受付です","〒990-0031

山形県山形市十日町1-7-30(山形中央郵便局隣)",山形県,東北,山形支店,https://www.nomura.co.jp/branch/branch/yamagata.html
