地域名,支店名,支店詳細URL,住所,電話番号
北海道・東北エリア,札幌支店,https://www.okasan.co.jp/site/office/hokkaido_tohoku/sapporo.html,"〒060-0002
北海道 札幌市 中央区北二条西3-1-8
「駅前通りグランドホテル前」",011-251-3455
北海道・東北エリア,仙台支店,https://www.okasan.co.jp/site/office/hokkaido_tohoku/sendai.html,"〒980-0811
宮城県 仙台市 青葉区一番町3-6-1 一番町平和ビル8階",022-265-1718
関東エリア,本店,https://www.okasan.co.jp/site/office/kanto/headoffice.html,"〒103-0022
東京都 中央区 日本橋 室町 2-2-1 室町東三井ビルディング",03-3272-2211（大代表）
関東エリア,室町インフォメーション,https://www.okasan.co.jp/site/office/kanto/muromachi_info.html,"〒103-0022
東京都 中央区 日本橋 室町 2-2-1 （COREDO室町1）1階",-
関東エリア,兜町オフィス,https://www.okasan.co.jp/site/office/kanto/kabutochooffice.html,"〒103-0026
東京都中央区日本橋兜町1-4 日本橋兜町M-SQUARE",03-3272-2211（大代表）
関東エリア,プライベートバンキング部,https://www.okasan.co.jp/site/office/kanto/headoffice_wm.html,"〒103-0022
東京都 中央区 日本橋 室町 2-2-1 室町東三井ビルディング 10階（コレド室町1）",03-3275-8570
関東エリア,本店営業第一部,https://www.okasan.co.jp/site/office/kanto/headoffice_sales1.html,"〒103-0022
東京都 中央区 日本橋 室町 1-5-5
室町ちばぎん三井ビルディング 11階（COREDO室町3）",03-4226-3331
関東エリア,本店営業第二部,https://www.okasan.co.jp/site/office/kanto/headoffice_sales2.html,"〒103-0022
東京都 中央区 日本橋 室町 1-5-5
室町ちばぎん三井ビルディング 11階（COREDO室町3）",03-4226-3350
関東エリア,本店営業第三部,https://www.okasan.co.jp/site/office/kanto/headoffice_sales3.html,"〒103-0022
東京都 中央区 日本橋 室町 1-5-5
室町ちばぎん三井ビルディング 11階（COREDO室町3）",03-4226-3360
関東エリア,白山サテライトプレイス,https://www.okasan.co.jp/site/office/kanto/hakusan.html,"〒112-0001
東京都文京区白山2-29-4 泉白山ビル9階
「白山通り」",03-4226-3335
関東エリア,白金高輪サテライトプレイス,https://www.okasan.co.jp/site/office/kanto/shirokanetakanawa.html,"〒106-0047
東京都港区南麻布3-21-17 B City Tower AZABU TOKYO 8階
「明治通り」",03-4226-3355
関東エリア,浅草サテライトプレイス,https://www.okasan.co.jp/site/office/kanto/asakusa.html,"〒111-0034
東京都 台東区雷門 2-4-8
「雷門前並木通り」",03-4226-3365
関東エリア,大森サテライトプレイス,https://www.okasan.co.jp/site/office/kanto/omori.html,"〒140-0013
東京都 品川区南大井 6-28-11
「大森駅東口バスロータリー前」",03-3763-3171
関東エリア,東京中央店営業第一部,https://www.okasan.co.jp/site/office/kanto/tokyochuo_sales1.html,"〒163-1502
東京都 新宿区西新宿 1-6-1
「新宿エルタワー 7階」",03-3342-2511
関東エリア,東京中央店営業第二部,https://www.okasan.co.jp/site/office/kanto/tokyochuo_sales2.html,"〒163-1502
東京都 新宿区西新宿 1-6-1
「新宿エルタワー 7階」",03-6387-7150
関東エリア,千歳烏山サテライトプレイス,https://www.okasan.co.jp/site/office/kanto/chitosekarasuyama.html,"〒157-0062
東京都世田谷区南烏山5-15-10 SKCビル4階
「烏山駅前通り商店街」",03-3342-2577
関東エリア,三鷹サテライトプレイス,https://www.okasan.co.jp/site/office/kanto/mitaka.html,"〒180-0006
東京都 武蔵野市中町 1-20-8 大樹生命三鷹ビル5階
「大樹生命三鷹ビル」",03-3342-2529
関東エリア,三軒茶屋サテライトプレイス,https://www.okasan.co.jp/site/office/kanto/sangenjaya.html,"〒154-0023
東京都 世田谷区若林 1-18-10 京阪世田谷ビル2階
「環七通り沿い」",03-3342-2407
関東エリア,碑文谷サテライトプレイス,https://www.okasan.co.jp/site/office/kanto/himonya.html,"〒152-0003
東京都目黒区碑文谷3-1-1
「サレジオ教会前」",03-4526-1177
関東エリア,自由が丘サテライトプレイス,https://www.okasan.co.jp/site/office/kanto/jiyuugaoka.html,"〒152-0035
東京都 目黒区自由が丘 1-3-19 自由が丘ビル1階
「自由通り」",03-6387-7155
関東エリア,池袋支店,https://www.okasan.co.jp/site/office/kanto/ikebukuro.html,"〒170-6048
東京都豊島区東池袋三丁目一番一号
サンシャイン60ビル 48階
「サンシャイン60ビル」",03-4533-8040
